cand_id,country,endMonth,endYear,name,startMonth,startYear
1,US,Present,2014,Georgia Institute of Technology,,2010
2,DE,Present,Present,The University of Bonn,,
2,US,Present,Present,University of Wisconsin-Madison,,
2,DE,Present,2014,Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,,2014
2,US,Present,2015,University of Wisconsin-Madison,,2011
3,US,Present,Present,University of California San Diego,,
3,US,Present,2011,"University of California, San Diego",,2007
4,FR,Present,2012,"ITEVEC, Saint Germain en Laye, 78",,2010
4,FR,Present,2013,"SUP DE V, Ecole supÃ©rieure de vente",,2012
4,FR,Present,2010,CFA STEPHENSON,,2009
5,US,Present,Present,University of Pennsylvania,,
5,US,Present,Present,Emory University,,
5,US,Present,2004,Emory University,,2000
5,US,Present,2009,University of Pennsylvania,,2007
6,,Present,Present,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,
6,FR,Present,2005,FacultÃ© de MÃ©decine - Nancy,,2003
6,,Present,1996,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,1993
7,CA,Present,Present,British Columbia Institute of Technology,,
7,CA,Present,2004,British Columbia Institute of Technology,,2002
9,GB,Present,Present,University of Kent,,
9,GB,Present,2008,Richmond Adult Community College,,2006
9,GB,Present,1999,University of Kent,,1995
9,GB,Present,2012,Chelsea College of Art & Design (University of Arts),,2008
10,GB,Present,Present,University of York,,
10,GB,Present,Present,University of York,,
12,US,Present,Present,San Jose State University,,
12,US,Present,2014,San Jose State University,,2013
13,US,Present,Present,Norwich University,,
13,CA,Present,Present,Ryerson University,,
13,CA,Present,1998,Woburn Collegiate Institute,,1995
13,US,Present,2009,Norwich University,,2007
13,CA,Present,2003,Ryerson University,,1998
15,US,Present,Present,University of Wisconsin-Madison,,
15,US,Present,2009,University of Wisconsin-Madison,,2005
15,US,Present,2009,University of Wisconsin-Madison,,2005
16,US,Present,Present,Baptist Bible College,,
16,US,Present,Present,Baptist Bible College,,
16,US,Present,Present,Carson Newman College,,
17,IN,Present,2008,"Institute of Technology, Nirma University",,2004
20,US,Present,Present,University of North Carolina at Charlotte,,
20,US,Present,2017,University of North Carolina at Charlotte,,2014
20,US,Present,2016,University of North Carolina at Charlotte,,2014
22,AR,Present,Present,Universidad Nacional de La Plata,,
22,US,Present,Present,Berkeley City College,,
22,AR,Present,2010,Universidad Nacional de La Plata,,2004
22,US,Present,Present,IDEO,,2014
22,US,Present,2013,Berkeley City College,,2011
23,US,Present,Present,CUNY New York City College of Technology,,
23,US,Present,Present,Westchester Community College,,
23,US,Present,1987,Westchester Community College,,1985
23,US,Present,1985,CUNY New York City College of Technology,,1983
23,US,Present,1983,John F Kennedy High School,,1980
24,US,Present,Present,Virginia Tech,,
24,US,Present,2004,Virginia Polytechnic Institute and State University,,2000
25,GB,Present,Present,The University of Manchester,,
25,GB,Present,Present,Imperial College London,,
25,GB,Present,2014,Imperial College London,,2013
25,GB,Present,2013,The University of Manchester,,2008
26,US,Present,Present,University of Redlands,,
26,US,Present,2010,University of Redlands,,2007
26,US,Present,Present,Park City High School,,
26,US,Present,2010,University of Redlands,,2006
27,US,Present,2013,Massachusetts College of Art,,2009
28,ES,Present,Present,Universidad de Sevilla,,
28,ES,Present,Present,Universidad de Sevilla,,
28,ES,Present,2012,Universidad de Sevilla,,2007
29,US,Present,Present,Savannah College of Art and Design,,
29,US,Present,Present,Rochester Institute of Technology,,
29,US,Present,2010,Savannah College of Art and Design,,2008
29,US,Present,2007,Rochester Institute of Technology,,2003
30,US,Present,Present,University of Arizona,,
30,US,Present,1992,University of Arizona,,1988
30,US,Present,1992,University of Arizona,,1988
32,US,Present,Present,University of Cincinnati,,
32,US,Present,Present,Georgia Institute of Technology,,
