,cand_id,country,endMonth,endYear,name,startMonth,startYear
0,1,US,Present,2014,Georgia Institute of Technology,,2010.0
1,2,DE,Present,2017,The University of Bonn,,
2,2,US,Present,2017,University of Wisconsin-Madison,,
3,2,DE,Present,2014,Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,,2014.0
4,2,US,Present,2015,University of Wisconsin-Madison,,2011.0
5,3,US,Present,2017,University of California San Diego,,
6,3,US,Present,2011,"University of California, San Diego",,2007.0
7,4,FR,Present,2012,"ITEVEC, Saint Germain en Laye, 78",,2010.0
8,4,FR,Present,2013,"SUP DE V, Ecole supÃ©rieure de vente",,2012.0
9,4,FR,Present,2010,CFA STEPHENSON,,2009.0
10,5,US,Present,2017,University of Pennsylvania,,
11,5,US,Present,2017,Emory University,,
12,5,US,Present,2004,Emory University,,2000.0
13,5,US,Present,2009,University of Pennsylvania,,2007.0
14,6,,Present,2017,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,
15,6,FR,Present,2005,FacultÃ© de MÃ©decine - Nancy,,2003.0
16,6,,Present,1996,Ecole nationale supÃ©rieure des Industries agricoles et alimentaires,,1993.0
17,7,CA,Present,2017,British Columbia Institute of Technology,,
18,7,CA,Present,2004,British Columbia Institute of Technology,,2002.0
19,9,GB,Present,2017,University of Kent,,
20,9,GB,Present,2008,Richmond Adult Community College,,2006.0
21,9,GB,Present,1999,University of Kent,,1995.0
22,9,GB,Present,2012,Chelsea College of Art & Design (University of Arts),,2008.0
23,10,GB,Present,2017,University of York,,
24,10,GB,Present,2017,University of York,,
25,12,US,Present,2017,San Jose State University,,
26,12,US,Present,2014,San Jose State University,,2013.0
27,13,US,Present,2017,Norwich University,,
28,13,CA,Present,2017,Ryerson University,,
29,13,CA,Present,1998,Woburn Collegiate Institute,,1995.0
30,13,US,Present,2009,Norwich University,,2007.0
31,13,CA,Present,2003,Ryerson University,,1998.0
32,15,US,Present,2017,University of Wisconsin-Madison,,
33,15,US,Present,2009,University of Wisconsin-Madison,,2005.0
34,15,US,Present,2009,University of Wisconsin-Madison,,2005.0
35,16,US,Present,2017,Baptist Bible College,,
36,16,US,Present,2017,Baptist Bible College,,
37,16,US,Present,2017,Carson Newman College,,
38,17,IN,Present,2008,"Institute of Technology, Nirma University",,2004.0
39,20,US,Present,2017,University of North Carolina at Charlotte,,
